Weekend,Date,Amount,Theaters,Movie
1,"Apr 27-29, 2018",257698183,4474,Infinity War
2,"May 4-6, 2018",114774810,4474,Infinity War
3,"May 11-13, 2018",62078047,4474,Infinity War
4,"May 18-20, 2018",29452903,4002,Infinity War
5,"May 25-27, 2018",17294657,3768,Infinity War
6,"Jun 1-3, 2018",10507279,3570,Infinity War
7,"Jun 8-10, 2018",7238699,2882,Infinity War
8,"Jun 15-17, 2018",5442261,2164,Infinity War
9,"Jun 22-24, 2018",2584228,1456,Infinity War
10,"Jun 29-Jul 1, 2018",1542704,890,Infinity War
11,"Jul 6-8, 2018",936335,506,Infinity War
12,"Jul 13-15, 2018",621380,375,Infinity War
13,"Jul 20-22, 2018",425466,294,Infinity War
14,"Jul 27-29, 2018",406008,292,Infinity War
15,"Aug 3-5, 2018",253846,205,Infinity War
16,"Aug 10-12, 2018",189574,172,Infinity War
17,"Aug 17-19, 2018",100562,148,Infinity War
18,"Aug 24-26, 2018",55006,108,Infinity War
19,"Aug 31-Sep 2, 2018",59062,92,Infinity War
20,"Sep 7-9, 2018",20297,60,Infinity War
1,"Apr 26-28, 2019",357115007,4662,Endgame
2,"May 3-5, 2019",147383211,4662,Endgame
3,"May 10-12, 2019",63299904,4662,Endgame
4,"May 17-19, 2019",29973505,4220,Endgame
5,"May 24-26, 2019",17200742,3810,Endgame
6,"May 31-Jun 2, 2019",8037491,3105,Endgame
7,"Jun 7-9, 2019",4870963,2121,Endgame
8,"Jun 14-16, 2019",3725855,1450,Endgame
9,"Jun 21-23, 2019",1987849,985,Endgame
10,"Jun 28-30, 2019",6108736,2025,Endgame
11,"Jul 5-7, 2019",3118317,1985,Endgame
12,"Jul 12-14, 2019",2104276,1443,Endgame
13,"Jul 19-21, 2019",1514741,985,Endgame
14,"Jul 26-28, 2019",952609,580,Endgame
15,"Aug 2-4, 2019",383158,420,Endgame
16,"Aug 9-11, 2019",209992,237,Endgame
17,"Aug 16-18, 2019",100749,148,Endgame
18,"Aug 23-25, 2019",50268,115,Endgame
19,"Aug 30-Sep 1, 2019",70775,110,Endgame
20,"Sep 6-8, 2019",12680,55,Endgame
