camper,persons,child,count
0,1,0,0
1,1,0,0
0,1,0,0
1,2,1,0
0,1,0,1
1,4,2,0
0,3,1,0
0,4,3,0
1,3,2,0
1,1,0,1
0,4,1,0
1,3,2,0
0,3,0,1
0,3,0,2
1,1,0,0
1,1,0,1
0,4,1,0
1,3,2,0
1,2,1,1
0,3,1,0
0,4,1,1
1,4,0,5
1,2,1,0
1,2,0,3
1,3,0,30
1,2,0,0
1,4,0,13
0,2,1,0
0,1,0,0
0,4,3,0
0,1,0,0
1,3,1,0
1,4,0,11
1,4,1,5
1,1,0,0
0,2,0,1
1,2,1,1
1,4,1,7
1,3,1,0
1,4,1,14
1,1,0,0
1,4,0,32
0,3,2,0
1,4,0,1
0,4,2,0
1,1,0,0
1,2,1,0
0,1,0,1
1,2,1,5
0,2,1,0
1,2,1,1
1,2,1,0
1,4,0,22
0,2,0,0
1,3,0,15
1,1,0,0
1,1,0,0
1,1,0,0
1,4,1,5
1,1,0,4
0,2,0,2
1,2,1,0
0,2,1,2
1,4,0,32
0,4,3,0
1,1,0,0
0,1,0,1
0,3,2,0
1,1,0,0
1,2,1,0
1,3,0,7
0,4,3,0
0,4,2,0
1,3,2,0
1,1,0,0
0,2,0,0
0,3,2,0
1,1,0,0
0,2,1,0
0,4,0,2
1,4,1,3
0,2,1,1
1,3,0,5
0,1,0,0
1,1,0,2
0,3,1,1
0,4,1,0
1,1,0,1
1,4,0,149
1,3,2,0
1,3,1,1
0,2,0,0
1,3,0,0
0,2,1,1
0,4,2,0
1,3,1,0
0,4,2,0
0,4,0,2
1,2,0,2
0,4,0,29
1,1,0,3
1,2,0,0
0,4,2,0
0,3,0,5
1,2,0,0
0,4,1,0
1,1,0,0
0,3,1,0
1,4,1,0
1,4,1,1
1,1,0,7
1,2,0,1
0,1,0,0
0,4,1,2
0,3,2,0
0,2,0,2
0,2,1,0
0,4,1,0
1,3,1,0
1,3,2,1
0,2,1,0
0,1,0,0
1,4,3,0
0,1,0,0
1,4,3,0
0,4,1,3
1,1,0,4
1,3,0,3
0,2,0,3
1,4,0,8
1,3,0,2
1,1,0,1
0,4,0,6
1,4,2,0
1,2,1,0
0,4,0,5
1,4,1,3
0,3,1,31
1,2,1,0
0,2,0,2
1,4,3,0
1,2,1,0
0,3,0,0
1,3,1,0
0,1,0,0
0,2,0,0
1,4,0,6
0,3,0,9
1,3,2,0
1,2,1,0
1,1,0,0
1,2,1,0
0,1,0,0
0,2,0,2
0,3,0,15
1,1,0,1
1,2,0,2
1,3,1,3
1,1,0,0
1,4,0,65
1,3,0,5
0,1,0,0
1,3,2,0
0,4,1,0
0,4,2,0
0,1,0,1
1,4,1,8
1,3,0,0
1,3,2,0
1,4,3,0
1,3,0,2
1,2,1,4
0,4,0,5
0,2,0,9
0,4,2,0
0,2,0,0
1,2,0,0
0,1,0,0
1,2,0,21
0,1,0,0
1,3,0,6
0,2,1,0
1,2,0,0
1,2,1,0
0,3,1,0
1,4,1,16
0,3,2,0
1,3,2,0
1,4,0,4
1,2,1,2
1,3,0,10
1,1,0,0
1,1,0,0
0,1,0,0
1,2,0,2
1,2,0,1
0,1,0,3
1,3,1,0
1,4,2,0
1,2,0,21
0,2,1,0
0,2,0,0
1,1,0,2
1,2,1,0
1,4,1,3
1,3,1,0
1,4,0,38
1,4,3,0
1,1,0,0
0,1,0,0
1,1,0,1
0,1,0,3
1,1,0,0
0,2,0,1
0,4,2,0
0,2,1,0
0,4,2,0
0,3,1,0
1,4,2,5
0,4,2,0
0,4,1,0
0,3,0,2
1,2,1,0
1,1,0,0
0,2,1,0
1,2,0,1
1,3,1,4
0,1,0,0
1,3,2,0
1,2,1,2
1,1,0,3
0,4,2,0
0,3,1,0
0,2,0,0
0,2,0,0
1,1,0,1
1,2,0,2
1,1,0,0
1,3,0,6
1,2,0,4
1,2,0,1
1,4,2,1
0,2,0,0
1,3,1,1
0,3,0,0
1,2,0,0
1,4,3,0
1,2,1,0
1,3,2,0
1,2,1,0
